2024-08-07 17:36:51 | INFO | model_worker | args: Namespace(host='0.0.0.0', port=40000, worker_address='http://0.0.0.0:40000', controller_address='http://0.0.0.0:10000', model_path='/data/gongoubo/VQA/LLaVA/model_hub/swift/llava-1___5-7b-hf/', model_base=None, model_name=None, device='cuda', multi_modal=False, limit_model_concurrency=5, stream_interval=1, no_register=False, load_8bit=False, load_4bit=False, use_flash_attn=False)
2024-08-07 17:36:51 | INFO | stdout | ====================================================================================================
2024-08-07 17:36:51 | INFO | stdout | model_worker里面打印model_name： llava-1___5-7b-hf
2024-08-07 17:36:51 | INFO | stdout | 是否注册： False
2024-08-07 17:36:51 | INFO | stdout | ====================================================================================================
2024-08-07 17:36:51 | INFO | model_worker | Loading the model llava-1___5-7b-hf on worker 748b38 ...
2024-08-07 17:36:51 | INFO | stdout | llava/model/budiler.py里面加载LlavaLlamaForCausalLM
2024-08-07 17:36:51 | INFO | stdout | llava/model/budiler.py里面打印model_path /data/gongoubo/VQA/LLaVA/model_hub/swift/llava-1___5-7b-hf
2024-08-07 17:36:51 | WARNING | transformers.tokenization_utils_base | Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
2024-08-07 17:36:51 | WARNING | transformers.tokenization_utils_base | Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
2024-08-07 17:36:51 | WARNING | transformers.configuration_utils | You are using a model of type llava to instantiate a model of type llava_llama. This is not supported for all configurations of models and can yield errors.
2024-08-07 17:36:51 | WARNING | transformers.configuration_utils | You are using a model of type llava to instantiate a model of type llava_llama. This is not supported for all configurations of models and can yield errors.
2024-08-07 17:49:55 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                                                                     | 0/3 [00:00<?, ?it/s]
2024-08-07 17:49:55 | ERROR | stderr | Loading checkpoint shards:  33%|█████████████████████████████████████████▋                                                                                   | 1/3 [00:00<00:00,  7.18it/s]
2024-08-07 17:49:55 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:00<00:00, 10.03it/s]
2024-08-07 17:49:55 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:00<00:00,  9.64it/s]
2024-08-07 17:49:55 | ERROR | stderr | 
